Search query: long evans rats
Year,Count
2022,55
2021,423
2020,558
2019,679
2018,721
2017,741
2016,781
2015,790
2014,847
2013,900
2012,878
2011,894
2010,849
2009,878
2008,892
2007,894
2006,908
2005,810
2004,767
2003,760
2002,726
2001,697
2000,721
1999,764
1998,362
1997,181
1996,199
1995,181
1994,169
1993,189
1992,176
1991,159
1990,158
1989,154
1988,169
1987,139
1986,162
1985,116
1984,117
1983,132
1982,90
1981,47
1980,55
1979,50
1978,50
1977,34
1976,42
1975,36
1974,6
1973,6
1972,8
1971,1
1970,2
1969,12
1968,3
1967,6
1965,3
1964,2
1963,4
1962,3
1961,1
1958,1
1957,2
1956,1
1952,1
1946,1
1941,1
